"Sign In", "Register"
"Sign Up for Our Newsletter:", "Newsletter"
"Enter your email address", "Enter your email"
"Search entire store here...", "Search"
"Review by", "By"
"Posted on", ","
"We found other products you might like!","You May Also Like"


"Manage Shopping Cart","Manage Shopping Bag"
"Are you sure you want to clear your cart?","Are you sure you want to clear your bag?"
"Clear my shopping cart","Clear my shopping bag"
"Add selections to my cart","Add selections to my bag"
"Shopping Cart for %1 in %2","Shopping Bag for %1 in %2"
"Add to Shopping Cart by SKU","Add to Shopping Bag by SKU"
"Add to Shopping Cart","Add to Shopping Bag"
"Shopping cart management is disabled for this customer.","Shopping bag management is disabled for this customer."
"Shopping Cart","Shopping Bag"
"You added %1 to your shopping cart.","You added %1 to your shopping bag."
"You can\'t add this many to your cart.","You can\'t add this many to your bag."
"We can\'t add the item to your cart.","We can\'t add the item to your bag."
"We can\'t add a product to cart by id ""%1"".","We can\'t add a product to bag by id ""%1""."
"You added %1 product to your shopping cart.","You added %1 product to your shopping bag."
"You added %1 products to your shopping cart.","You added %1 products to your shopping bag."
"Shopping Cart Items","Shopping Bag Items"
"Add to Cart","Add to Bag"
"Shopping Cart Management","Shopping Bag Management"
"View Shopping Cart","View Shopping Bag"
"View and modify Shopping Cart","View and modify Shopping Bag"

"Related Cart Price Rules","Related Bag Price Rules"
"Shopping Cart Promotions Related","Shopping Bag Promotions Related"

"Display on Shopping Cart","Display on Shopping Bag"

"We can\'t add this item to your shopping cart right now.","We can\'t add this item to your shopping bag right now."
"Customize and Add to Cart","Customize and Add to Bag"

"We can\'t add the product to the cart because of an option validation issue.","We can\'t add the product to the bag because of an option validation issue."
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","These ""impulse-buy"" products appear next to the shopping bag as cross-sells to the items already in the shopping bag."
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Bag"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Bag"
"Check items to add to the cart or","Check items to add to the bag or"

"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the bag, not to the entire bag."

"You cannot add ""%1"" to the cart.","You cannot add ""%1"" to the bag."
"Allow Adding to Cart","Allow Adding to Bag"

"My Cart (1 item)","My Bag (1 item)"
"My Cart (%1 items)","My Bag (%1 items)"
"My Cart","My Bag"
"%1 was updated in your shopping cart.","%1 was updated in your shopping bag."
